"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue May 28 14:59:33 GMT 2024","Tue May 28 14:59:33 GMT 2024","668","API Suite","API Test","com.teamcity.api.BuildTypeTest","com.teamcity.api.BuildTypeTest","projectAdminCreatesBuildTypeTest","Project admin should be able to create build type for their project",""
"passed","Tue May 28 14:59:34 GMT 2024","Tue May 28 14:59:34 GMT 2024","247","API Suite","API Test","com.teamcity.api.BuildTypeTest","com.teamcity.api.BuildTypeTest","userCreatesBuildTypeTest","User should be able to create build type",""
"passed","Tue May 28 14:59:30 GMT 2024","Tue May 28 14:59:31 GMT 2024","481","API Suite","API Test","com.teamcity.api.ProjectTest","com.teamcity.api.ProjectTest","userCreatesProjectWithIdExceedingLimitTest","User should not be able to create project with id exceeding the limit",""
"passed","Tue May 28 14:59:35 GMT 2024","Tue May 28 14:59:35 GMT 2024","324","API Suite","API Test","com.teamcity.api.BuildTypeTest","com.teamcity.api.BuildTypeTest","userDeletesBuildTypeTest","User should be able to delete build type",""
"passed","Tue May 28 14:58:34 GMT 2024","Tue May 28 14:59:07 GMT 2024","33698","Surefire suite","Surefire test","com.teamcity.SetupFirstStartTest","com.teamcity.SetupFirstStartTest","setupTeamCityAgentTest","setupTeamCityAgentTest",""
"passed","Tue May 28 15:00:10 GMT 2024","Tue May 28 15:00:23 GMT 2024","13348","UI Suite","UI Test","com.teamcity.ui.CreateNewProjectTest","com.teamcity.ui.CreateNewProjectTest","authorizedUserShouldBeAbleCreateNewProjectByGitHub","Authorized User Should Be Able Create New Project By GitHub",""
"passed","Tue May 28 14:59:35 GMT 2024","Tue May 28 14:59:35 GMT 2024","199","API Suite","API Test","com.teamcity.api.BuildTypeTest","com.teamcity.api.BuildTypeTest","userCreatesTwoBuildTypesWithSameIdTest","User should not be able to create two build types with the same id",""
"passed","Tue May 28 14:59:32 GMT 2024","Tue May 28 14:59:32 GMT 2024","406","API Suite","API Test","com.teamcity.api.BuildTypeTest","com.teamcity.api.BuildTypeTest","projectAdminCreatesBuildTypeForAnotherUserProjectTest","Project admin should not be able to create build type for not their project",""
"passed","Tue May 28 14:59:26 GMT 2024","Tue May 28 14:59:26 GMT 2024","296","API Suite","API Test","com.teamcity.api.ProjectTest","com.teamcity.api.ProjectTest","unauthorizedUserCreatesProjectTest","Unauthorized user should not be able to create project",""
"passed","Tue May 28 14:59:33 GMT 2024","Tue May 28 14:59:34 GMT 2024","164","API Suite","API Test","com.teamcity.api.BuildTypeTest","com.teamcity.api.BuildTypeTest","unauthorizedUserCreatesBuildTypeTest","Unauthorized user should not be able to create build type",""
"failed","Tue May 28 14:59:49 GMT 2024","Tue May 28 15:00:02 GMT 2024","13405","UI Suite","UI Test","com.teamcity.ui.CreateNewProjectTest","com.teamcity.ui.CreateNewProjectTest","authorizedUserShouldBeAbleCreateNewBuildConfigurationByGitHub","Authorized User Should Be Able Create New Build Configuration By GitHub",""
"passed","Tue May 28 14:59:35 GMT 2024","Tue May 28 14:59:40 GMT 2024","4204","API Suite","API Test","com.teamcity.api.StartBuildTest","com.teamcity.api.StartBuildTest","userStartsBuildTest","User should be able to start build",""
"passed","Tue May 28 14:59:31 GMT 2024","Tue May 28 14:59:32 GMT 2024","312","API Suite","API Test","com.teamcity.api.ProjectTest","com.teamcity.api.ProjectTest","userDeletesProjectTest","User should be able to delete project",""
"passed","Tue May 28 14:59:34 GMT 2024","Tue May 28 14:59:34 GMT 2024","317","API Suite","API Test","com.teamcity.api.BuildTypeTest","com.teamcity.api.BuildTypeTest","userCreatesBuildTypeWithIdExceedingLimitTest","User should not be able to create build type with id exceeding the limit",""
"failed","Tue May 28 15:00:02 GMT 2024","Tue May 28 15:00:09 GMT 2024","7077","UI Suite","UI Test","com.teamcity.ui.CreateNewProjectTest","com.teamcity.ui.CreateNewProjectTest","authorizedUserShouldBeAbleCreateNewBuildConfigurationByManually","Authorized User Should Be Able Create New Build Configuration By GitHub",""
"passed","Tue May 28 14:59:31 GMT 2024","Tue May 28 14:59:31 GMT 2024","371","API Suite","API Test","com.teamcity.api.ProjectTest","com.teamcity.api.ProjectTest","userCreatesTwoProjectsWithSameIdTest","User should not be able to create two projects with the same id",""
"passed","Tue May 28 14:59:26 GMT 2024","Tue May 28 14:59:30 GMT 2024","3702","API Suite","API Test","com.teamcity.api.ProjectTest","com.teamcity.api.ProjectTest","userCreatesProjectTest","User should be able to create project",""
