"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8876","Authorized User Should Be Able Create New Build Configuration By GitHub","UI Suite","Tue Jan 27 10:14:22 UTC 2026","failed","Tue Jan 27 10:14:31 UTC 2026","com.teamcity.ui.CreateNewProjectTest","UI Test","com.teamcity.ui.CreateNewProjectTest","authorizedUserShouldBeAbleCreateNewBuildConfigurationByGitHub"
"","252","User should not be able to create two build types with the same id","API Suite","Tue Jan 27 10:13:48 UTC 2026","passed","Tue Jan 27 10:13:48 UTC 2026","com.teamcity.api.BuildTypeTest","API Test","com.teamcity.api.BuildTypeTest","userCreatesTwoBuildTypesWithSameIdTest"
"","582","Project admin should be able to create build type for their project","API Suite","Tue Jan 27 10:13:46 UTC 2026","passed","Tue Jan 27 10:13:47 UTC 2026","com.teamcity.api.BuildTypeTest","API Test","com.teamcity.api.BuildTypeTest","projectAdminCreatesBuildTypeTest"
"","214","Unauthorized user should not be able to create project","API Suite","Tue Jan 27 10:13:42 UTC 2026","passed","Tue Jan 27 10:13:42 UTC 2026","com.teamcity.api.ProjectTest","API Test","com.teamcity.api.ProjectTest","unauthorizedUserCreatesProjectTest"
"","256","User should not be able to create build type with id exceeding the limit","API Suite","Tue Jan 27 10:13:48 UTC 2026","passed","Tue Jan 27 10:13:48 UTC 2026","com.teamcity.api.BuildTypeTest","API Test","com.teamcity.api.BuildTypeTest","userCreatesBuildTypeWithIdExceedingLimitTest"
"","2497","User should be able to create project","API Suite","Tue Jan 27 10:13:42 UTC 2026","passed","Tue Jan 27 10:13:44 UTC 2026","com.teamcity.api.ProjectTest","API Test","com.teamcity.api.ProjectTest","userCreatesProjectTest"
"","34914","Authorized User Should Be Able Create New Build Configuration By Manually","UI Suite","Tue Jan 27 10:14:41 UTC 2026","failed","Tue Jan 27 10:15:16 UTC 2026","com.teamcity.ui.CreateNewProjectTest","UI Test","com.teamcity.ui.CreateNewProjectTest","authorizedUserShouldBeAbleCreateNewBuildConfigurationByManually"
"","261","User should not be able to create two projects with the same id","API Suite","Tue Jan 27 10:13:45 UTC 2026","passed","Tue Jan 27 10:13:45 UTC 2026","com.teamcity.api.ProjectTest","API Test","com.teamcity.api.ProjectTest","userCreatesTwoProjectsWithSameIdTest"
"","333","User should be able to delete build type","API Suite","Tue Jan 27 10:13:48 UTC 2026","passed","Tue Jan 27 10:13:49 UTC 2026","com.teamcity.api.BuildTypeTest","API Test","com.teamcity.api.BuildTypeTest","userDeletesBuildTypeTest"
"","30389","setupTeamCityAgentTest","Surefire suite","Tue Jan 27 10:12:54 UTC 2026","passed","Tue Jan 27 10:13:24 UTC 2026","com.teamcity.SetupFirstStartTest","Surefire test","com.teamcity.SetupFirstStartTest","setupTeamCityAgentTest"
"","129","Unauthorized user should not be able to create build type","API Suite","Tue Jan 27 10:13:47 UTC 2026","passed","Tue Jan 27 10:13:47 UTC 2026","com.teamcity.api.BuildTypeTest","API Test","com.teamcity.api.BuildTypeTest","unauthorizedUserCreatesBuildTypeTest"
"","4162","User should be able to start build","API Suite","Tue Jan 27 10:13:49 UTC 2026","passed","Tue Jan 27 10:13:53 UTC 2026","com.teamcity.api.StartBuildTest","API Test","com.teamcity.api.StartBuildTest","userStartsBuildTest"
"","325","User should not be able to create project with id exceeding the limit","API Suite","Tue Jan 27 10:13:45 UTC 2026","passed","Tue Jan 27 10:13:45 UTC 2026","com.teamcity.api.ProjectTest","API Test","com.teamcity.api.ProjectTest","userCreatesProjectWithIdExceedingLimitTest"
"","334","Project admin should not be able to create build type for not their project","API Suite","Tue Jan 27 10:13:46 UTC 2026","passed","Tue Jan 27 10:13:46 UTC 2026","com.teamcity.api.BuildTypeTest","API Test","com.teamcity.api.BuildTypeTest","projectAdminCreatesBuildTypeForAnotherUserProjectTest"
"","31918","Authorized User Should Be Able Create New Project By GitHub","UI Suite","Tue Jan 27 10:15:23 UTC 2026","failed","Tue Jan 27 10:15:55 UTC 2026","com.teamcity.ui.CreateNewProjectTest","UI Test","com.teamcity.ui.CreateNewProjectTest","authorizedUserShouldBeAbleCreateNewProjectByGitHub"
"","216","User should be able to create build type","API Suite","Tue Jan 27 10:13:47 UTC 2026","passed","Tue Jan 27 10:13:47 UTC 2026","com.teamcity.api.BuildTypeTest","API Test","com.teamcity.api.BuildTypeTest","userCreatesBuildTypeTest"
"","323","User should be able to delete project","API Suite","Tue Jan 27 10:13:45 UTC 2026","passed","Tue Jan 27 10:13:46 UTC 2026","com.teamcity.api.ProjectTest","API Test","com.teamcity.api.ProjectTest","userDeletesProjectTest"
